,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
1224,Daniel Auteuil,Catherine Frot,Bernard Le Coq,264814,2018,2019.0,199662.0,Couleur,90.0,Français,Français,22.0,54.0,418.0,2.6,2.1,José Alcala,"Gilbert et Simone , retraités , vivent chichement sur la retraite de Gilbert , ancien garagiste . Tandis que Gilbert s' adonne à la sculpture , Simone , elle , se passionne pour Epicure et pour Etienne , leur voisin cycliste . Mais quand Etienne déménage , Simone , livrée à elle-même , exaspéré par l' aigreur de son mari , décide de le quitter . Aussitôt , Gilbert part à sa poursuite , bien décidé à la reconquérir . Mais Simone a goûté à une autre vie , et elle n' est pas prête à retrouver son foyer étriqué et ses petites habitudes . Qui a dit que la retraite était ennuyeuse ? Ou seulement paisible ? Servi par un trio d' acteurs épatants , José Alcala signe une belle comédie transgénérationnelle qui fait voler en éclat les clichés .",Qui m' aime me suive !,Long-métrage,romance
4527,Cameron Diaz,Leslie Mann,Kate Upton,215685,2014,2014.0,804954.0,Couleur,109.0,Anglais,Américain,20.0,400.0,4248.0,2.6,2.7,Nick Cassavetes,"Carly découvre que son nouveau petit ami Marc est un imposteur , lorsqu' elle rencontre accidentellement sa femme , Kate . Carly va se prendre d' affection pour elle , et leur improbable amitié va se renforcer encore un peu plus lorsqu' elles réalisent que Marc les trompe toutes les deux avec une autre femme , Amber . Les trois femmes vont joindre leurs forces et mettre au point un impitoyable complot pour se venger .",Triple alliance,,comédie
2133,Matthias Schoenaerts,Léa Seydoux,Colin Firth,244552,2018,2018.0,,Couleur,118.0,Anglais,"Belge , français , norvégien",25.0,146.0,1310.0,2.8,3.6,Thomas Vinterberg,"KURSK relate le naufrage du sous-marin nucléaire russe K-141 Koursk , survenu en mer de Barents le 12 août 2000 . Tandis qu’ à bord du navire endommagé , vingt-trois marins se battent pour survivre , au sol , leurs familles luttent désespérément contre les blocages bureaucratiques qui ne cessent de compromettre l’ espoir de les sauver .",Kursk,Long-métrage,historique
369,Chloë Grace Moretz,Nick Robinson,Alex Roe,204646,2016,2016.0,996507.0,Couleur,112.0,Anglais,Américain,13.0,640.0,6818.0,2.2,2.5,J Blakeson,"Quatre vagues d’ attaques , chacune plus mortelle que la précédente , ont décimé la presque totalité de la Terre . Terrifiée , se méfiant de tout , Cassie est en fuite et tente désespérément de sauver son jeune frère . Alors qu’ elle se prépare à affronter la cinquième vague , aussi inévitable que fatale , elle va faire équipe avec un jeune homme qui pourrait bien représenter son dernier espoir – si toutefois elle peut lui faire confiance …",La 5ème vague,Long-métrage,science fiction
1774,Eddie Murphy,Judge Reinhold,John Ashton,39139,1984,1985.0,2000592.0,Couleur,105.0,Anglais,Américain,,220.0,13366.0,,3.5,Martin Brest,"Axel Foley , lieutenant de police de Detroit , débarque à Beverly Hills pour enquêter sur la mort d' un de ses amis truands . Ses investigations l’ amènent bientôt à faire la lumière sur un vaste réseau de trafic de drogue dirigé par un puissant homme d’ affaires .",Le Flic de Beverly Hills,,policier
4583,acteurs inconnus,,,272141,2018,2019.0,,Couleur,79.0,Français,Français,14.0,25.0,38.0,3.6,3.7,Ludovic Cantais,"Chaque semaine , une équipe de bénévoles du Mémorial de la Shoah à Paris recueille des témoignages et collecte les archives personnelles des déportés et de leurs familles . J' AIMERAIS QU' IL RESTE QUELQUE CHOSE va à va rencontre de ceux qui racontent et donnent ainsi que de ceux qui écoutent et reçoivent pour sauvegarder et transmettre le souvenir des victimes de la Shoah . Au fil des entretiens , au détour d' une histoire , s' affirme l' indélébile présence des absents .",J' aimerais qu' il reste quelque chose,Long-métrage,documentaire
1194,Eric Judor,Ramzy Bedia,Marina Foïs,27438,2000,2001.0,2053371.0,Couleur,92.0,Français,Français,14.0,578.0,27123.0,2.9,2.4,Charles Nemes,"Un soir , suspendus au 52ème étage de la Tour Montparnasse , Eric et Ramzy , deux laveurs de carreaux , ont pris du retard dans leur travail . Pendant ce temps , la jolie Stéphanie attend son oncle , le puissant PDG du Groupe Lanceval , et ses fils , les actionnaires principaux , pour un conseil d' administration nocturne qui va se révéler bien mouvementé . En effet , un commando surentraîné investit l' immeuble , contrôle tous les accès et prend la famille Lanceval en otage . Stéphanie est en fait l' organisatrice du coup monté et convoite la fortune de son oncle qui la méprise depuis toujours . Stéphanie et ses hommes n' attendent plus que la main de la chère mère , dont les empreintes vont permettre d' actionner le mécanisme d' ouverture du coffre . Cependant , nos deux compères sont restés au sommet de la Tour et risquent bien de faire capoter le plan machiavélique de la belle .",La Tour Montparnasse infernale,Long-métrage,comédie
1507,Tom Cruise,Billy Connolly,Tony Goldwyn,46943,2003,2004.0,2200887.0,Couleur,144.0,,Américain,19.0,803.0,29584.0,2.8,3.8,Edward Zwick,"En 1876 , le capitaine Nathan Algren vit avec les souvenirs des batailles sanglantes menées contre les Sioux . Fort de son expérience au combat , il devient conseiller militaire pour le compte de l' empereur japonais soucieux d' ouvrir son pays aux traditions et au commerce occidentaux et d' éradiquer l' ancienne caste guerrière des samouraïs . Mais ceux-ci influent sur le capitaine Algren , qui se trouve bientôt pris entre deux feux , au coeur d' une confrontation entre deux époques et deux mondes avec , pour le guider , son sens de l' honneur .",Le Dernier samouraï,,historique
4994,Philippe Nahon,Blandine Lenoir,Frankie Pain,105494,1999,1999.0,,Couleur,89.0,Français,Français,18.0,156.0,1451.0,3.4,3.8,Gaspar Noé,"Seconde partie du diptyque , à voir impérativement après Carne . Le drame d' un ex - boucher chevalin se débattant seul contre tous dans les entrailles de son pays .",Seul contre tous,Long-métrage,policier
4700,Paul Walker,David Belle,Robert Fitzgerald Diggs,198969,2013,2014.0,319412.0,Couleur,91.0,Anglais,"Français , canadien",3.0,331.0,2348.0,3.0,2.3,Camille Delamarre,"Détroit , 2018 . Damien , policier expert en arts martiaux , est chargé d' infiltrer le dangereux ghetto de Brick Mansions . Sa mission : neutraliser une arme de destruction massive détenue par le gang de Tremaine , qui règne sur les lieux . Pour ce faire , Damien devra faire équipe avec Lino , un habitant du quartier qui connaît la banlieue comme sa poche … mais qui a surtout une affaire très personnelle à régler avec Tremaine .",Brick Mansions,Long-métrage,policier
4820,Tobin Bell,Costas Mandylor,Scott Patterson,125198,2007,2007.0,652627.0,Couleur,90.0,Anglais,"Américain , canadien",13.0,863.0,7885.0,1.8,2.2,Darren Lynn Bousman,"Le Tueur au puzzle et sa protégée , Amanda , ont disparu , mais la partie continue . Après le meurtre de l' inspectrice Kerry , deux profileurs chevronnés du FBI , les agents Strahm et Perez , viennent aider le détective Hoffman à réunir les pièces du dernier puzzle macabre laissé par le Tueur pour essayer , enfin , de comprendre . C' est alors que le commandant du SWAT , Rigg , est enlevé ... Forcé de participer au jeu mortel , il n' a que 90 minutes pour triompher d' une série de pièges machiavéliques et sauver sa vie . En cherchant Rigg à travers la ville , le détective Hoffman et les deux profileurs vont découvrir des cadavres et des indices qui vont les conduire à l' ex - femme du Tueur , Jill . L' histoire et les véritables intentions du Tueur au puzzle vont peu à peu être dévoilées , ainsi que ses plans sinistres pour ses victimes passées , présentes ... et futures .",Saw 4,Long-métrage,horreur
5567,Edward Norton,Naomi Watts,Liev Schreiber,71445,2006,2007.0,158440.0,Couleur,124.0,,"Américain , chinois , canadien",17.0,283.0,2074.0,2.9,3.7,John Curran,"Londres , 1920 . Après un mariage trop vite accepté pour convenances sociales , Kitty part avec son mari , Walter , médecin bactériologiste , pour vivre à Shanghai où il doit mener des recherches . Rapidement , la jeune femme tombe amoureuse d' un autre homme . Lorsque Walter découvre l' adultère dont il est victime , il promet à Kitty de lui accorder un divorce qui ne mentionnera pas son infidélité et lui conservera ainsi une réputation sans tache , si son amant quitte sa femme pour l' épouser . Walter sait que cet homme place sa carrière avant ses nombreuses conquêtes féminines ... Abandonnée par son amant , brisée , Kitty accompagne son mari dans une région où une épidémie de choléra balaie les populations et où les guerres locales font rage ...",Le Voile des illusions,,romance
2742,Richard S. Castellano,Brian Freilino,Jessica Di Cicco,6608,1990,1991.0,,Couleur,160.0,,Américain,,450.0,18591.0,,4.2,Francis Ford Coppola,"Atteignant la soixantaine , Michael Corleone désire à la fois renouer avec les siens et se réhabiliter aux yeux de la société , surtout de l' Eglise . Il arrivera presque a ses fins , mais sa vie passée et ses anciens ennemis le rattraperont plus vite . Michael Corleone est fatigué . Il veut prendre ses distances avec les activités mafieuses de sa famille . Il veut convertir ces activités en affaires légales . Kay , son ex-femme , lui fait même accepter que leur fils devienne un chanteur d' opéra et ne reprenne pas les activités familiales . Pendant ce temps , la fille de Michael , Mary , et son neveu , le fils de Sonny , Vincent , nouent une idylle qui n' est pas la bienvenue dans la famille . Il décide d' aider le Vatican à renflouer ses caisses et reçoit en échange le contrôle d' une entreprise immobilière leur appartenant . Attisant la jalousie de ses pairs , Michael échappe de justesse à un attentat commis par l' un d' eux . Vincent se propose alors pour reprendre les affaires de la famille en main .","Le Parrain , 3e partie",,policier
231,Paul Walter Hauser,Sam Rockwell,Kathy Bates,226927,2020,2020.0,795393.0,Couleur,129.0,Anglais,Américain,35.0,526.0,9163.0,4.0,4.1,Clint Eastwood,"En 1996 , Richard Jewell fait partie de l' équipe chargée de la sécurité des Jeux d' Atlanta . Il est l' un des premiers à alerter de la présence d' une bombe et à sauver des vies . Mais il se retrouve bientôt suspecté ... de terrorisme , passant du statut de héros à celui d' homme le plus détesté des Etats-Unis . Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie , sa santé étant endommagée par l' expérience .",Le Cas Richard Jewell,,drame
2322,Juli Jakab,Vlad Ivanov,Evelin Dobos,246726,2018,2019.0,,Couleur,141.0,,"Hongrois , français",24.0,35.0,171.0,3.1,2.6,László Nemes,"1913 , au cœur de l’ empire austro-hongrois . Irisz Leiter revient à Budapest après avoir passé son enfance dans un orphelinat . Son rêve de travailler dans le célèbre magasin de chapeaux , autrefois tenu par ses parents , est brutalement brisé par Oszkar Brill le nouveau propriétaire . Lorsqu’ Írisz apprend qu' elle a un frère dont elle ne sait rien , elle cherche à clarifier les mystères de son passé . A la veille de la guerre , cette quête sur ses origines familiales va entraîner Irisz dans les méandres d’ un monde au bord du chaos .",Sunset,Long-métrage,drame
2933,Jérémie Renier,Marthe Keller,Zita Hanrot,256587,2017,2019.0,,Couleur,93.0,Français,"Français , belge",25.0,77.0,1536.0,3.7,3.0,David Roux,"Simon , 37 ans , est un médecin aguerri . L’ hôpital , c’ est sa vie . Il côtoie la maladie et la mort tous les jours dans son service de pneumologie et a appris à s’ en protéger . Mais quand sa mère est hospitalisée dans une unité voisine , la frontière entre l’ intime et le professionnel se brouille . L’ univers de Simon , ses certitudes et ses convictions vacillent ...",L' Ordre des médecins,Long-métrage,drame
116,Emmanuelle Béart,Ramzy Bedia,Jeanne Balibar,265231,2018,2020.0,,Couleur,109.0,Français,Français,21.0,36.0,648.0,2.3,1.2,Jeanne Balibar,"Joëlle et Kamel font tous deux partie de l' équipe municipale de la nouvelle Maire de Montfermeil , Emmanuelle Joly , mais ils sont en instance de divorce . Toute l' équipe travaille à la mise en œuvre d' une nouvelle et très surprenante politique , dont la pierre angulaire est la création de la "" Montfermeil Intensive School of Languages "" . Tandis que la ville change et prospère , Joëlle et Kamel se chamaillent … . Mais à l' occasion de la Fête de la Brioche , leur amour peut - il renaître ?",Merveilles à Montfermeil,Long-métrage,comédie
2341,Tom Cruise,Brad Pitt,Stephen Rea,11234,1994,1994.0,1630482.0,Couleur,123.0,Anglais,Américain,5.0,565.0,29505.0,3.2,4.0,Neil Jordan,"San Francisco dans les années 90 . Un jeune journaliste , Malloy , s' entretient dans une chambre avec un homme élégant , à l' allure aristocratique et au visage blafard , Louis , qui lui fait de bien étranges confidences . Malloy , subjugué par la séduction de son interlocuteur lui demande , à l' aube , de le faire pénétrer dans son monde , celui des vampires .",Entretien avec un vampire,,horreur
2466,Casey Affleck,Anna Pniowsky,Elisabeth Moss,250139,2019,2020.0,56109.0,Couleur,119.0,Anglais,Américain,32.0,155.0,1604.0,3.4,3.0,Casey Affleck,"Dans un futur proche où la population féminine a été éradiquée , un père tâche de protéger Rag , sa fille unique , miraculeusement épargnée . Dans ce monde brutal dominé par les instincts primaires , la survie passe par une stricte discipline , faite de fuite permanente et de subterfuges . Mais il le sait , son plus grand défi est ailleurs : alors que tout s' effondre , comment maintenir l' illusion d' un quotidien insouciant et préserver la complicité fusionnelle avec sa fille ?",Light of my Life,Long-métrage,science fiction
3166,Kellan Lutz,Daniel MacPherson,Isabel Lucas,251560,2016,2017.0,,Couleur,99.0,Anglais,Australien,,64.0,547.0,,1.9,Shane Abbess,"Dans un futur lointain , l’ humanité part à la conquête de nouvelles planètes habitables . L’ entreprise Exor est chargée d’ organiser la vie dans ces nouveaux mondes . Mais un jour , Kane , un de ses principaux lieutenants , découvre que la planète OSIRIS , qui héberge sa fille , est menacée par un virus mortel . Il se lance alors dans une course contre la montre pour la sauver .","Osiris , la 9ème planète",Long-métrage,science fiction
4262,Ryan Kwanten,Donnie Wahlberg,Bob Gunton,126460,2007,2007.0,,Couleur,89.0,Anglais,Américain,4.0,387.0,2239.0,2.5,2.9,James Wan,"Un homme revient dans sa ville natale pour enquêter sur la mort mystérieuse de sa femme . Au fur et à mesure de ses recherches , il apprend que ce meutre pourrait avoir été commis par le fantôme d' une ventriloque continuant à vivre à travers ses marionnettes ...",Dead Silence,Long-métrage,horreur
501,Fanny Valette,Johan Libéreau,Raphaël Lenglet,138682,2009,2009.0,83620.0,Couleur,84.0,Français,Français,11.0,514.0,1981.0,3.4,2.7,Abel Ferry,"Poussé par un désir d' aventure et l' envie de se retrouver , un groupe d' amis se lance sur une via ferrata , une voie d' escalade en haute montagne . Pour Chloé , Guillaume , Fred , Karine et Loïc , le vertige des sommets et celui de sentiments enfouis va vite compliquer le voyage , d' autant qu' ils découvrent avec horreur qu' ils ne sont pas seuls ... L' expédition va rapidement virer au cauchemar .",Vertige,Long-métrage,horreur
3578,Florian Lukas,Rupert Grint,David Kross,195803,2012,,,Couleur,100.0,,"Norvégien , suédois",,,,,,Petter Naess,Durant la seconde guerre mondiale un pilote anglais et un pilote allemand se retrouvent isolés en Norvège . Pour survivre ils vont devoir partager la même cabine . C' est le début d' une grande amitié .,Into the White,Long-métrage,historique
2428,Iwan Rheon,Daniel Webber,Douglas Booth,119413,2019,2019.0,,Couleur,108.0,Anglais,Américain,,42.0,550.0,,3.9,Jeff Tremaine,"Un biopic sur le groupe de rock Mötley Crüe , adapté du livre "" The Dirt : Confessions of the World' s Most Notorious Rock Band "" .",The Dirt,Long-métrage,biopic
4497,Peter Phelps,Patrick Swayze,Keanu Reeves,6991,1991,1991.0,1351132.0,Couleur,122.0,Anglais,Américain,,389.0,15780.0,,3.7,Kathryn Bigelow,"Pour retrouver les braqueurs responsables de 26 attaques de banques , Johnny Utah , jeune inspecteur du FBI inexpérimenté et naïf , s' infiltre dans le milieu des surfeurs de Los Angeles .",Point break extrême limite,Long-métrage,policier
5782,David Naughton,Griffin Dunne,Jenny Agutter,1082,1981,1981.0,932212.0,Couleur,97.0,Anglais,"Britannique , américain",,162.0,1452.0,,3.4,John Landis,"Deux jeunes routards américains , David et Jack , effectuent un voyage en Europe de plusieurs mois . Alors qu' ils se trouvent au beau milieu de la campagne anglaise et malgré les avertissements des habitants de la région , il s' aventurent dans la lande . Traqués par une créature mythique assoiffée de sang , les deux voyageurs vont voir leurs vies basculer totalement ...",Le Loup-garou de Londres,,horreur
3016,Jean Reno,Christian Clavier,Muriel Robin,1919,1998,1998.0,8038852.0,Couleur,118.0,Français,Français,,456.0,25427.0,,2.3,Jean-Marie Poiré,"Godefroy de Montmirail est reparti au Moyen Age pour épouser la douce Frénégonde . Mais une malencontreuse erreur s’ est produite : au lieu de son valet Jacquouille , c’ est son descendant , Jacquart , qui a suivi Godefroy . Jacquouille , lui , est resté au XXème siècle . Godefroy , qui le soupçonne d’ avoir volé des bijoux à son futur beau-père , décide alors de repartir le chercher ...",Les Visiteurs 2 : Les couloirs du temps,Long-métrage,science fiction
1736,Philippe Lellouche,Vanessa Demouy,Christian Vadim,222883,2013,2014.0,48278.0,Couleur,85.0,Français,Français,3.0,104.0,480.0,2.3,2.1,François Desagnat,"Au cours d’ un de leurs habituels dîners hebdomadaires , trois jeunes quadras vont retrouver Margaux , leur coup de cœur d' ados . Mais la surprise que leur réserve l' ancienne « bombe du lycée » risque de bouleverser le cours de la soirée ...",Le Jeu de la vérité,Long-métrage,comédie
2311,Daniel Auteuil,Maria Pacôme,Michel Galabru,40868,1980,1980.0,3985214.0,Couleur,92.0,Français,Français,4.0,281.0,14416.0,2.5,3.0,Claude Zidi,"Bébel et ses petits camarades du Cours Louis XIV , sont réputés pour être des fainéants et d' invétérés farceurs . Leur lycée est même dernier du classement au baccalauréat avec 100 % de recalés à l' examen ! Après une plaisanterie qui tourne mal , les trublions se retrouvent obligés d' obtenir leur bac à tout prix , tout en rusant et trichant , s' ils ne veulent pas finir en prison ...",Les Sous - doués,Long-métrage,comédie
2938,Sandra Bullock,Ryan Reynolds,Betty White,129019,2009,2009.0,810255.0,Couleur,108.0,Anglais,Américain,20.0,683.0,6270.0,2.5,3.0,Anne Fletcher,"Lorsque Margaret , une très puissante éditrice , est menacée d' être expulsée vers son pays natal , le Canada , elle imagine une solution d' urgence et déclare qu' elle est fiancée à son assistant , le malheureux Andrew , qu' elle exploite et maltraite depuis des années . Celui-ci accepte de participer à la supercherie , mais à ses conditions ... Le curieux couple se rend en Alaska pour rencontrer l' étonnante famille d' Andrew . Margaret , citadine jusqu' au bout des ongles et habituée à tout contrôler , se retrouve vite dans des situations qu' elle ne maîtrise plus ... Alors que les préparatifs du mariage avancent et qu' un officier de l' immigration les poursuit , Margaret et Andrew ont de plus en plus de mal et de moins en moins envie de respecter le plan prévu ...",La Proposition,,romance
2573,Nicolas Przygoda,Sonia Mietielica,Danuta Stenka,271985,2018,2020.0,,Couleur,88.0,,"Polonais , néerlandais , allemand",,8.0,63.0,,2.1,Adrian Panek,"Au printemps 1945 , 8 enfants , rescapés d' anciens camps Nazis trouvent refuge dans un manoir abandonné , au coeur de la forêt . Pour survivre ils doivent surmonter la faim et la soif et affronter les féroces bergers allemands échappés des camps démantelés .",Les Rescapés,Long-métrage,horreur
4432,Yann Yann Yeo,Tianwen Chen,Angeli Bayani,220942,2013,2013.0,,Couleur,99.0,,Singapourien,22.0,64.0,469.0,3.9,3.7,Anthony Chen,"A Singapour , Jiale , jeune garçon turbulent vit avec ses parents . Les rapports familiaux sont tendus et la mère , dépassée par son fils , décide d’ embaucher Teresa , une jeune Philippine . Teresa est vite confrontée à l’ indomptable Jiale , et la crise financière asiatique de 1997 commence à sévir dans toute la région …",Ilo Ilo,Long-métrage,drame
3999,Steve Coogan,John C. Reilly,Nina Arianda,225671,2018,2019.0,,Couleur,99.0,Anglais,"Britannique , américain , canadien",20.0,108.0,744.0,3.0,3.6,Jon S. Baird,"1953 . Laurel et Hardy , le plus grand duo comique de tous les temps , se lancent dans une tournée à travers l’ Angleterre . Désormais vieillissants et oubliés des plus jeunes , ils peinent à faire salle comble . Mais leurs capacités à se faire rire mutuellement et à se réinventer vont leur permettre de reconquérir le public , et renouer avec le succès . Même si le spectre du passé et de nouvelles épreuves ébranlent la solidité de leur duo , cette tournée est l’ occasion unique de réaliser à quel point , humainement , ils comptent l’ un pour l’ autre …",Stan & Ollie,Long-métrage,biopic
3362,Jason Statham,Saffron Burrows,Stephen Campbell-Moore,126279,2008,2008.0,561863.0,Couleur,100.0,Anglais,Américain,17.0,602.0,7080.0,3.8,3.4,Roger Donaldson,"Jusque-là , Terry s' était toujours contenté de vols de voitures et de petites magouilles , mais lorsque Martine lui propose de participer au braquage infaillible d' une prestigieuse banque londonienne , il y voit la chance de sa vie ... L' enjeu est une salle des coffres remplie de millions en liquide et en bijoux extraordinaires , mais Terry et son équipe ignorent que l' endroit renferme aussi quelques secrets que les plus puissants dignitaires du royaume ne veulent à aucun prix voir sortir ... Voici l' incroyable histoire vraie d' un cambriolage à scandale où les voleurs sont certainement les plus innocents de l' affaire ...",Braquage à l' Anglaise,,policier
766,Shailene Woodley,Ansel Elgort,Nat Wolff,218926,2014,2014.0,1023438.0,Couleur,125.0,Anglais,Américain,22.0,1153.0,18867.0,2.8,4.1,Josh Boone,"Hazel Grace et Gus sont deux adolescents hors - normes , partageant un humour ravageur et le mépris des conventions . Leur relation est elle-même inhabituelle , étant donné qu’ ils se sont rencontrés et sont tombés amoureux lors d' un groupe de soutien pour les malades du cancer .",Nos étoiles contraires,Long-métrage,romance
397,Jean-Pierre Bacri,Gilles Lellouche,Eye Haïdara,247291,2017,2017.0,3020694.0,Couleur,116.0,Français,Français,34.0,1161.0,17879.0,3.7,3.9,"Eric Toledano, Olivier Nakache","Max est traiteur depuis trente ans . Des fêtes il en a organisé des centaines , il est même un peu au bout du parcours . Aujourd'hui c' est un sublime mariage dans un château du 17ème siècle , un de plus , celui de Pierre et Héléna . Comme d' habitude , Max a tout coordonné : il a recruté sa brigade de serveurs , de cuisiniers , de plongeurs , il a conseillé un photographe , réservé l' orchestre , arrangé la décoration florale , bref tous les ingrédients sont réunis pour que cette fête soit réussie ... Mais la loi des séries va venir bouleverser un planning sur le fil où chaque moment de bonheur et d' émotion risque de se transformer en désastre ou en chaos . Des préparatifs jusqu' à l' aube , nous allons vivre les coulisses de cette soirée à travers le regard de ceux qui travaillent et qui devront compter sur leur unique qualité commune : Le sens de la fête .",Le Sens de la fête,Long-métrage,comédie
3636,Buster Keaton,Kathryn McGaire,Joe Keaton,2426,1924,1924.0,,,,Muet,Américain,,43.0,380.0,,4.4,Buster Keaton,"Projectionniste dans un modeste cinéma , amoureux de la fille de son patron , un homme rêve de devenir un grand détective . Un jour , tandis qu' il rend visite à la demoiselle de ses pensées pour lui offrir une bague , son rival dérobe la montre du père , la place chez un prêteur sur gages puis glisse le billet dans la poche du pauvre amoureux . Celui-ci se met à jouer les détectives amateurs . Confondu , il est chassé de la maison ...",Sherlock Junior,Long-métrage,comédie
2300,Sarah Polley,Ving Rhames,Jake Weber,51739,2004,2004.0,464664.0,,100.0,Anglais,Américain,18.0,777.0,9495.0,3.9,3.7,Zack Snyder,"Personne ne peut expliquer comment tout cela est arrivé , mais ce matin , le monde n' est plus qu' un immense cauchemar . La population de la planète se résume désormais à une horde de morts vivants assoiffés de sang et lancés à la poursuite des derniers êtres humains encore en vie . Après avoir miraculeusement réussi à s' échapper de son quartier , Ana Clark se barricade avec un petit groupe de survivants dans un centre commercial . André et sa femme enceinte , Michael et Kenneth , officiers de police , vont tout faire pour rester vivants . Alors que dehors , la situation est de pire en pire , à l' intérieur , il faut aussi faire face aux peurs et aux démons de chacun .",L' Armée des morts,,horreur
2163,Paul Rudd,Evangeline Lilly,Michael Peña,226391,2018,2018.0,1798459.0,Couleur,118.0,Anglais,Américain,23.0,448.0,9179.0,3.4,3.6,Peyton Reed,"Après les événements survenus dans Captain America : Civil War , Scott Lang a bien du mal à concilier sa vie de super-héros et ses responsabilités de père . Mais ses réflexions sur les conséquences de ses choix tournent court lorsque Hope van Dyne et le Dr Hank Pym lui confient une nouvelle mission urgente … Scott va devoir renfiler son costume et apprendre à se battre aux côtés de La Guêpe afin de faire la lumière sur des secrets enfouis de longue date …",Ant - Man et la Guêpe,,science fiction
5777,Susan Sarandon,Tommy Lee Jones,Anthony LaPaglia,10948,1994,1994.0,340230.0,Couleur,122.0,Anglais,Américain,,69.0,966.0,,2.9,Joel Schumacher,"Le jeune Mark Sway est témoin du suicide d' un avocat véreux qui se confesse à lui avant de mourir . Mark est alors autant courtisé par la police que par les mafiosi . Il refuse de parler mais , conscient du danger qu' il court , il se décide cependant à engager une avocate , Reggie Love , qui accepte de le defendre pour un dollar symbolique .",Le Client,Long-métrage,policier
2222,Hayden Christensen,Samuel L. Jackson,Jamie Bell,114653,2008,2008.0,1150038.0,Couleur,95.0,Anglais,"Américain , canadien",20.0,1426.0,23514.0,2.2,2.7,Doug Liman,"Depuis qu' il a découvert qu' il pouvait se téléporter n' importe où sur terre , le monde n' a plus de limite pour David Rice . grâce à son pouvoir , il peut déjeuner en Egypte sur la tête du Sphinx , passer la journée à faire du surf en Australie , dîner à Paris et prendre le dessert au Japon . Les murs ne l' arrêtent plus et aucun coffre de banque ne lui résiste . Libre comme personne , David vit dans l' insouciance la plus totale , jusqu' à ce que ...",Jumper,Long-métrage,science fiction
3403,Ben Lloyd-Hughes,Florence Pugh,Celia Imrie,239211,2018,2018.0,,Couleur,89.0,Anglais,Américain,,46.0,330.0,,1.8,Olaf de Fleur Johannesson,"Jackson et Angela ont monté une escroquerie en se faisant passer pour des chasseurs de fantômes et en vivent plutôt bien . Un jour qu' ils sont chargés d' enquêter sur une vieille maison hantée , de véritables terreurs surnaturelles occupent la maison , et même un mal bien plus grand encore ...",Les mauvais esprits,Long-métrage,horreur
4805,Samuel L. Jackson,Kevin Spacey,David Morse,19403,1998,1998.0,305784.0,Couleur,138.0,Anglais,"Allemand , américain",,170.0,4181.0,,3.5,F. Gary Gray,"Les hélicoptères de la police tournent sans relâche dans la nuit de Chicago . L' antigang , le FBI et les médias sont aux aguets . Au vingtième étage d' un immeuble , Danny Roman tient sous la menace d' une arme Niebaum , responsable de la police des polices , le commandant Forst , un indicateur et une secrétaire . Danny Roman est tout sauf un criminel . Policier aguerri , il est considéré comme le meilleur négociateur de Chicago . Seulement il est accusé d' un crime odieux . Bouc emissaire d' un terrifiant complot , Niebaum détient , apparemment , la clé du mystère mais refuse de la lui livrer .",Négociateur,Long-métrage,policier
4208,Tyrin Turner,Larenz Tate,Jada Pinkett Smith,7846,1993,1994.0,149413.0,Couleur,96.0,Anglais,Américain,,102.0,2944.0,,3.7,"Allen Hughes, Albert Hughes","La vie d' une bande dans le Watts , quartier noir - américain de Los Angeles , un an après les émeutes . Aux Etats-Unis , les adolescents representent 42 % des délinquants juvéniles en état d' arrestation , alors qu' ils ne représentent que 16 % de la population âgée de moins de 18 ans .",Menace II Society,Long-métrage,drame
1408,Tom Hardy,Matt King,James Lance,139042,2008,2009.0,87456.0,Couleur,92.0,Anglais,Britannique,16.0,726.0,5036.0,4.1,3.4,Nicolas Winding Refn,"1974 . Livré à lui-même , Michael Peterson , 19 ans , cherche à faire la Une des journaux : rêvant de devenir célèbre , il tente de braquer un bureau de poste avec un fusil à canon scié qu' il a lui-même bricolé . Rapidement interpellé , il est d' abord condamné à 7 ans de prison . A ce jour , il a passé 34 années en prison , dont 30 en isolement cellulaire . La métamorphose de Mickey Peterson en Charles Bronson , devenu le détenu le plus dangereux d' Angleterre .",Bronson,Long-métrage,biopic
3795,Jacques Gamblin,Yann Arthus-Bertrand,Salma Hayek,128179,2009,2009.0,123738.0,Couleur,118.0,Français,Français,7.0,352.0,3124.0,3.6,3.8,Yann Arthus-Bertrand,"En 200 000 ans d' existence , l' homme a rompu l' équilibre sur lequel la Terre vivait depuis 4 milliards d' années . Réchauffement climatique , épuisement des ressources , extinction des espèces : l' homme a mis en péril sa propre demeure . Mais il est trop tard pour être pessimiste : il reste à peine dix ans à l' humanité pour inverser la tendance , prendre conscience de son exploitation démesurée des richesses de la Terre , et changer son mode de consommation .",Home,Long-métrage,documentaire
